"id","engineCode","transmissionCode","intervalMileage","frequency","action","item","itemDescription","laborUnits","partUnits","driveType","modelYear"
283536,"6INAG4.0","ALL",7500,4,"Change","Engine oil","A substance that lubricates and cools the moving parts of the engine and reduces corrosion and the formation of rust.",0.24,6,"ALL","2000"
283523,"6INAG4.0","ALL",7500,4,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"ALL","2000"
283561,"6INAG4.0","ALL",60000,4,"Replace","Distributor cap","The nonconductive cap of the distributor that contains the contacts leading to each individual spark plug.",0.6,1,"ALL","2000"
283546,"6INAG4.0","ALL",7500,4,"Replace","Oil filter","A cartridge-filled canister placed in an engine's lubricating system to strain dirt and abrasive materials out of the oil.",0.1,1,"ALL","2000"
283542,"6INAG4.0","ALL",52500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1.5,"ALL","2000"
369694,"6INAG4.0","ALL",60000,4,"Replace","Distributor rotor","The rotating, nonconductive component of a distributor that contains contacts and that, when aligned, complete an electrical circuit between the ignition coil and a spark plug.",0.01,1,"ALL","2000"
283510,"6INAG4.0","ALL",7500,4,"Lubricate","Drive shaft","A sturdy metal tube with universal joints on either end that connects the engine to a differential on a rear-wheel or four-wheel drive vehicle.",0.1,0,"ALL","2000"
283547,"6INAG4.0","ALL",60000,4,"Replace","Vacuum lines & hoses","Flexible tubing used to carry air, fluids, vapors or pressurized gas.",0.4,1,"ALL","2000"
283562,"6INAG4.0","ALL",60000,4,"Replace","Spark plug wires","Cables that carry a high-voltage electrical charge the spark plug(s).",0.7,1,"ALL","2000"
283564,"6INAG4.0","ALL",30000,4,"Replace","Fuel filter","A replaceable metal or plastic canister that prevents particulate matter and most contaminants in the fuel from reaching the engine.",0.5,1,"ALL","2000"
283566,"6INAG4.0","ALL",30000,4,"Replace","Spark plugs","Cables that carry a high-voltage electrical charge from the distributor cap or ignition coils to the spark plugs.",0.6,6,"ALL","2000"
283516,"6INAG4.0","ALL",30000,4,"Inspect/adjust","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",0.03,0,"ALL","2000"
283569,"6INAG4.0","ALL",30000,4,"Change","Rear differential fluid","Lubricant that permits quiet and low friction operation of the differential. Can be gear oil, transmission fluid, or a more specialized fluid specified by the manufacturer.",0.5,1.2,"ALL","2000"
283535,"6INAG4.0","ALL",30000,4,"Inspect","Brakes, front","A vehicle's stopping mechanism comprised of a pedal connected to a hydraulic master cylinder that can actuate clamping and/or expanding devices at all four wheels that slow or stop a vehicle's rolling motion.  Also used to refer to the brake system's most frequently replaced parts, brake pads and/or brake shoes.",0.1,0,"ALL","2000"
283563,"6INAG4.0","ALL",30000,4,"Replace","Air filter","A device that filters incoming air fed to the engine.",0.2,1,"ALL","2000"
283524,"6INAG4.0","ALL",7500,4,"Inspect","Differential, front","A set of gears that transfers the power of the rotating driveshaft to drive wheels in front and rear-wheel-drive vehicles. The differential also allows each of the opposing wheels to turn at a different speed when cornering.",0.05,0,"ALL","2000"
283568,"6INAG4.0","ALL",30000,4,"Change","Front differential fluid","The liquid used for lubricating gears inside the differential.",0.5,1.3,"ALL","2000"
283565,"6INAG4.0","ALL",60000,4,"Replace","Serpentine belt","A ribbed drive belt that drives more than one engine accessory.",0.3,1,"ALL","2000"
283512,"6INAG4.0","ALL",30000,4,"Lubricate","Hinges, locks & latches","The devices that allow or prevent the opening of doors and hatches.",0.05,0,"ALL","2000"
283543,"6INAG4.0","ALL",82500,3,"Replace","Oxygen sensor","In a computer-controlled, fuel-injected vehicle, a sensor mounted in the exhaust stream that relays air/fuel ratio information to the fuel control computer that allows the computer to make adjustments.",0.2,1,"ALL","2000"
283539,"6INAG4.0","ALL",30000,4,"Change","Transfer case fluid","Lubricant used in the transfer case.",0.5,1.5,"ALL","2000"
283511,"6INAG4.0","ALL",7500,4,"Lubricate","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2000"
283518,"6INAG4.0","ALL",7500,4,"Inspect","Exhaust system","A system of tubing that routes exhaust gases from the exhaust manifold to the rear of the car and into the air. The exhaust system includes catalytic converters and mufflers that help reduce air and noise pollution generated by an engine.",0.05,0,"ALL","2000"
283534,"6INAG4.0","ALL",30000,4,"Inspect","Brakes, rear","A vehicle's stopping mechanism comprised of a pedal connected to a hydraulic master cylinder that can actuate clamping and/or expanding devices at all four wheels that slow or stop a vehicle's rolling motion.  Also used to refer to the brake system's most frequently replaced parts, brake pads and/or brake shoes.",0.1,0,"ALL","2000"
283522,"6INAG4.0","ALL",7500,4,"Inspect","Differential, rear","A set of gears that transfers the power of the rotating driveshaft to drive wheels in front and rear-wheel-drive vehicles. The differential also allows each of the opposing wheels to turn at a different speed when cornering.",0.05,0,"ALL","2000"
283519,"6INAG4.0","ALL",7500,4,"Inspect","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2000"
283520,"6INAG4.0","ALL",7500,4,"Inspect","Steering","The collection of components that enable the operator to direct a vehicle in a desired direction.",0.1,0,"ALL","2000"
283567,"6INAG4.0","AUTOMATIC",30000,4,"Change","Automatic transmission fluid","The fluid used for lubricating and cooling an automatic transmission.",0.5,4.2,"ALL","2000"
283521,"6INAG4.0","MANUAL",7500,4,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2000"
283541,"6INAG4.0","MANUAL",30000,4,"Change","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.5,3.5,"ALL","2000"
256283,"4INAG2.5","ALL",7500,4,"Change","Engine oil","A substance that lubricates and cools the moving parts of the engine and reduces corrosion and the formation of rust.",0.16,4,"ALL","2001"
256285,"4INAG2.5","ALL",7500,4,"Inspect","Exhaust system","A system of tubing that routes exhaust gases from the exhaust manifold to the rear of the car and into the air. The exhaust system includes catalytic converters and mufflers that help reduce air and noise pollution generated by an engine.",0.05,0,"ALL","2001"
256321,"4INAG2.5","ALL",30000,4,"Adjust","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",0.05,0,"ALL","2001"
369250,"4INAG2.5","ALL",60000,4,"Replace","Distributor rotor","The rotating, nonconductive component of a distributor that contains contacts and that, when aligned, complete an electrical circuit between the ignition coil and a spark plug.",0.01,1,"ALL","2001"
256289,"4INAG2.5","ALL",7500,4,"Lubricate","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2001"
256320,"4INAG2.5","ALL",15000,4,"Inspect","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",0.03,0,"ALL","2001"
256335,"4INAG2.5","ALL",82500,3,"Replace","Oxygen sensor","In a computer-controlled, fuel-injected vehicle, a sensor mounted in the exhaust stream that relays air/fuel ratio information to the fuel control computer that allows the computer to make adjustments.",0.2,1,"ALL","2001"
256331,"4INAG2.5","ALL",60000,4,"Replace","Distributor cap","The nonconductive cap of the distributor that contains the contacts leading to each individual spark plug.",0.6,1,"ALL","2001"
256310,"4INAG2.5","ALL",52500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256287,"4INAG2.5","ALL",7500,4,"Inspect","U-Joints & axle seals","Universal joints - flexible joints composed of two U-shaped yokes sharing a common cross-shaped member, used on drive shafts.  Axle seals are parts that seal the joint between an axle and a differential housing or axle housing.",0.2,0,"ALL","2001"
256288,"4INAG2.5","ALL",7500,4,"Inspect","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2001"
256286,"4INAG2.5","ALL",7500,4,"Lubricate","Drive shaft","A sturdy metal tube with universal joints on either end that connects the engine to a differential on a rear-wheel or four-wheel drive vehicle.",0.1,0,"ALL","2001"
256332,"4INAG2.5","ALL",30000,4,"Inspect","PCV filter","Positive crankcase ventilation filter/positive crankcase ventilation valve. Devices that allow the venting of combustion gases from the crankcase to the intake system instead of into the atmosphere.",0.05,0,"ALL","2001"
256326,"4INAG2.5","ALL",112500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1,"ALL","2001"
256284,"4INAG2.5","ALL",7500,4,"Replace","Oil filter","A cartridge-filled canister placed in an engine's lubricating system to strain dirt and abrasive materials out of the oil.",0.1,1,"ALL","2001"
256312,"4INAG2.5","ALL",75000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256309,"4INAG2.5","ALL",45000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256314,"4INAG2.5","ALL",97500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256327,"4INAG2.5","ALL",30000,4,"Inspect","Brake system","A vehicle's stopping mechanism comprised of a pedal connected to a hydraulic master cylinder that can actuate clamping and/or expanding devices at all four wheels that slow or stop a vehicle's rolling motion.  Components in a basic brake system are the master cylinder, calipers and/or wheel cylinders, linings or pads or shoes, rotors and/or drums.",0.4,0,"ALL","2001"
256290,"4INAG2.5","ALL",7500,4,"Inspect","Steering gearbox","A steering mechanism that converts the rotational motion of a steering wheel to the side-to-side motion of a lever that is connected to the steering linkage.",0.1,0,"ALL","2001"
256328,"4INAG2.5","ALL",30000,4,"Inspect","Chassis nuts & bolts","Fasteners holding parts onto a vehicle's frame.",0.1,0,"ALL","2001"
256329,"4INAG2.5","ALL",60000,4,"Replace","Emissions hoses & tubes","Hoses and tubes utilized by any of a vehicle's emission control devices.",0.3,1,"ALL","2001"
256325,"4INAG2.5","ALL",82500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1,"ALL","2001"
256324,"4INAG2.5","ALL",52500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1,"ALL","2001"
256416,"4INAG2.5","ALL",0,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0,1,"ALL","2001"
256323,"4INAG2.5","ALL",30000,4,"Replace","Fuel filter","A replaceable metal or plastic canister that prevents particulate matter and most contaminants in the fuel from reaching the engine.",0.5,1,"ALL","2001"
256306,"4INAG2.5","ALL",15000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256305,"4INAG2.5","ALL",7500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256322,"4INAG2.5","ALL",60000,4,"Replace","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",1.5,1,"ALL","2001"
256311,"4INAG2.5","ALL",67500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256307,"4INAG2.5","ALL",22500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256319,"4INAG2.5","ALL",30000,4,"Replace","Air filter","A device that filters incoming air fed to the engine.",0.2,1,"ALL","2001"
256315,"4INAG2.5","ALL",105000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256318,"4INAG2.5","ALL",30000,4,"Replace","Spark plugs","Cables that carry a high-voltage electrical charge from the distributor cap or ignition coils to the spark plugs.",0.5,4,"ALL","2001"
256316,"4INAG2.5","ALL",112500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256334,"4INAG2.5","ALL",82500,3,"Replace","PCV valve","Positive Crankcase Ventilation valve, an emissions related device that allows venting of combustion gases from the crankcase to the intake system rather than the atmosphere.",0.2,1,"ALL","2001"
256308,"4INAG2.5","ALL",37500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256313,"4INAG2.5","ALL",82500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256317,"4INAG2.5","ALL",30000,4,"Change","Transfer case fluid","Lubricant used in the transfer case.",0.5,2.7,"4WD","2001"
256330,"4INAG2.5","ALL",60000,4,"Replace","Spark plug wires","Cables that carry a high-voltage electrical charge the spark plug(s).",0.5,1,"ALL","2001"
256338,"6INAG4.2","ALL",7500,4,"Replace","Oil filter","A cartridge-filled canister placed in an engine's lubricating system to strain dirt and abrasive materials out of the oil.",0.1,1,"ALL","2001"
256368,"6INAG4.2","ALL",97500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256344,"6INAG4.2","ALL",7500,4,"Inspect","Steering gearbox","A steering mechanism that converts the rotational motion of a steering wheel to the side-to-side motion of a lever that is connected to the steering linkage.",0.1,0,"ALL","2001"
256383,"6INAG4.2","ALL",60000,4,"Replace","Emissions hoses & tubes","Hoses and tubes utilized by any of a vehicle's emission control devices.",0.3,1,"ALL","2001"
256373,"6INAG4.2","ALL",30000,4,"Replace","Air filter","A device that filters incoming air fed to the engine.",0.2,1,"ALL","2001"
256364,"6INAG4.2","ALL",52500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256493,"6INAG4.2","ALL",0,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0,1.5,"ALL","2001"
256366,"6INAG4.2","ALL",75000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256337,"6INAG4.2","ALL",7500,4,"Change","Engine oil","A substance that lubricates and cools the moving parts of the engine and reduces corrosion and the formation of rust.",0.24,6,"ALL","2001"
256339,"6INAG4.2","ALL",7500,4,"Inspect","Exhaust system","A system of tubing that routes exhaust gases from the exhaust manifold to the rear of the car and into the air. The exhaust system includes catalytic converters and mufflers that help reduce air and noise pollution generated by an engine.",0.05,0,"ALL","2001"
369249,"6INAG4.2","ALL",60000,4,"Replace","Distributor rotor","The rotating, nonconductive component of a distributor that contains contacts and that, when aligned, complete an electrical circuit between the ignition coil and a spark plug.",0.01,1,"ALL","2001"
256362,"6INAG4.2","ALL",37500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256397,"6INAG4.2","ALL",52500,4,"Check","Ignition timing","Ignition delivery in relation to crankshaft position expressed in degrees before the number one piston is at its highest point of travel within its cylinder, or before top dead center (BTDC).",0.2,0,"ALL","2001"
256384,"6INAG4.2","ALL",60000,4,"Replace","Spark plug wires","Cables that carry a high-voltage electrical charge the spark plug(s).",0.7,1,"ALL","2001"
256381,"6INAG4.2","ALL",30000,4,"Inspect","Brake system","A vehicle's stopping mechanism comprised of a pedal connected to a hydraulic master cylinder that can actuate clamping and/or expanding devices at all four wheels that slow or stop a vehicle's rolling motion.  Components in a basic brake system are the master cylinder, calipers and/or wheel cylinders, linings or pads or shoes, rotors and/or drums.",0.4,0,"ALL","2001"
256376,"6INAG4.2","ALL",60000,4,"Replace","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",1.5,1,"ALL","2001"
256380,"6INAG4.2","ALL",112500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1.5,"ALL","2001"
256386,"6INAG4.2","ALL",30000,4,"Inspect","PCV filter","Positive crankcase ventilation filter/positive crankcase ventilation valve. Devices that allow the venting of combustion gases from the crankcase to the intake system instead of into the atmosphere.",0.05,0,"ALL","2001"
256375,"6INAG4.2","ALL",30000,4,"Adjust","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",0.05,0,"ALL","2001"
256388,"6INAG4.2","ALL",82500,3,"Replace","PCV valve","Positive Crankcase Ventilation valve, an emissions related device that allows venting of combustion gases from the crankcase to the intake system rather than the atmosphere.",0.2,1,"ALL","2001"
256379,"6INAG4.2","ALL",82500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1.5,"ALL","2001"
256395,"6INAG4.2","ALL",82500,3,"Inspect","Choke linkage","On a carbureted engine, the assembly of parts that controls a valve that limits incoming cold air until the engine reaches operating temperature and is able to more efficiently vaporize fuel.",0.1,0,"ALL","2001"
256377,"6INAG4.2","ALL",30000,4,"Replace","Fuel filter","A replaceable metal or plastic canister that prevents particulate matter and most contaminants in the fuel from reaching the engine.",0.5,1,"ALL","2001"
256378,"6INAG4.2","ALL",52500,3,"Flush/replace","Coolant","Also known as ""antifreeze."" A mixture of water and ethylene glycol that has both a higher boiling point and a lower freezing point than plain water.",0.7,1.5,"ALL","2001"
256385,"6INAG4.2","ALL",60000,4,"Replace","Distributor cap","The nonconductive cap of the distributor that contains the contacts leading to each individual spark plug.",0.6,1,"ALL","2001"
256394,"6INAG4.2","ALL",52500,3,"Inspect","Choke linkage","On a carbureted engine, the assembly of parts that controls a valve that limits incoming cold air until the engine reaches operating temperature and is able to more efficiently vaporize fuel.",0.1,0,"ALL","2001"
256396,"6INAG4.2","ALL",10500,3,"Inspect","Choke linkage","On a carbureted engine, the assembly of parts that controls a valve that limits incoming cold air until the engine reaches operating temperature and is able to more efficiently vaporize fuel.",0.1,0,"ALL","2001"
256393,"6INAG4.2","ALL",30000,3,"Inspect","Choke linkage","On a carbureted engine, the assembly of parts that controls a valve that limits incoming cold air until the engine reaches operating temperature and is able to more efficiently vaporize fuel.",0.1,0,"ALL","2001"
256389,"6INAG4.2","ALL",82500,3,"Replace","Oxygen sensor","In a computer-controlled, fuel-injected vehicle, a sensor mounted in the exhaust stream that relays air/fuel ratio information to the fuel control computer that allows the computer to make adjustments.",0.2,1,"ALL","2001"
256392,"6INAG4.2","ALL",52500,4,"Check","Idle speed","The RPM of the engine free from load (all accessories off), at normal operating temperature and in neutral (or, in the case of an automatic transmission, park or neutral).",0.1,0,"ALL","2001"
256391,"6INAG4.2","ALL",5000,3,"Check","Idle speed","The RPM of the engine free from load (all accessories off), at normal operating temperature and in neutral (or, in the case of an automatic transmission, park or neutral).",0.1,0,"ALL","2001"
256382,"6INAG4.2","ALL",30000,4,"Inspect","Chassis nuts & bolts","Fasteners holding parts onto a vehicle's frame.",0.1,0,"ALL","2001"
256341,"6INAG4.2","ALL",7500,4,"Inspect","U-Joints & axle seals","Universal joints - flexible joints composed of two U-shaped yokes sharing a common cross-shaped member, used on drive shafts.  Axle seals are parts that seal the joint between an axle and a differential housing or axle housing.",0.2,0,"ALL","2001"
256343,"6INAG4.2","ALL",7500,4,"Lubricate","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2001"
256340,"6INAG4.2","ALL",7500,4,"Lubricate","Drive shaft","A sturdy metal tube with universal joints on either end that connects the engine to a differential on a rear-wheel or four-wheel drive vehicle.",0.1,0,"ALL","2001"
256359,"6INAG4.2","ALL",7500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256369,"6INAG4.2","ALL",105000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256360,"6INAG4.2","ALL",15000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256367,"6INAG4.2","ALL",82500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256363,"6INAG4.2","ALL",45000,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256372,"6INAG4.2","ALL",30000,4,"Replace","Spark plugs","Cables that carry a high-voltage electrical charge from the distributor cap or ignition coils to the spark plugs.",0.6,6,"ALL","2001"
256371,"6INAG4.2","ALL",30000,4,"Change","Transfer case fluid","Lubricant used in the transfer case.",0.5,2.7,"4WD","2001"
256374,"6INAG4.2","ALL",15000,4,"Inspect","Drive belt(s)","A belt that transfers the rotation of the engine through the crankshaft pulley to drive various devices, such as the alternator, water pump, air conditioning compressor or power steering pump.",0.03,0,"ALL","2001"
256370,"6INAG4.2","ALL",112500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256342,"6INAG4.2","ALL",7500,4,"Inspect","Steering linkage","The arrangement of rods and lubricated joints connecting the steering gearbox to the wheel spindles.",0.1,0,"ALL","2001"
256361,"6INAG4.2","ALL",22500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256365,"6INAG4.2","ALL",67500,3,"Inspect","Transfer case fluid","Lubricant used in the transfer case.",0.1,0,"4WD","2001"
256294,"4INAG2.5","MANUAL",22500,3,"Check level","Manual transmission fluid","The fluid used for lubricating and cooling a manual transmission.",0.1,0,"ALL","2001"
