"vehicleMakeId","makeName","modelName","modelId","yearId"
200347864,"am-general","hummer",305,2000
200002038,"acura","integra",1080,2000
200002038,"acura","nsx",953,2000
200002038,"acura","rl",397,2000
200002038,"acura","tl",1067,2000
200000001,"audi","a4",1082,2000
200000001,"audi","a6",1085,2000
200000001,"audi","a8",384,2000
200000001,"audi","s4",1066,2000
200000001,"audi","tt",1231,2000
200000081,"bmw","3-series",1118,2000
200000081,"bmw","5-series",1124,2000
200000081,"bmw","7-series",1241,2000
200000081,"bmw","m",1243,2000
200000081,"bmw","m5",952,2000
200000081,"bmw","x5",1086,2000
200000081,"bmw","z3",1244,2000
200000081,"bmw","z8",208,2000
200006659,"buick","century",1148,2000
200006659,"buick","lesabre",1234,2000
200006659,"buick","park-avenue",1142,2000
200006659,"buick","regal",1128,2000
200001663,"cadillac","catera",414,2000
200001663,"cadillac","deville",518,2000
200001663,"cadillac","eldorado",379,2000
200001663,"cadillac","escalade",1149,2000
200001663,"cadillac","seville",1150,2000
200000404,"chevrolet","astro",1151,2000
200000404,"chevrolet","astro-cargo",1125,2000
200000404,"chevrolet","blazer",1129,2000
200000404,"chevrolet","ck-2500-series",502,2000
200000404,"chevrolet","ck-3500-series",1087,2000
200000404,"chevrolet","camaro",368,2000
200000404,"chevrolet","cavalier",501,2000
200000404,"chevrolet","corvette",1122,2000
200000404,"chevrolet","express",1092,2000
200000404,"chevrolet","express-cargo",100503411,2000
200000404,"chevrolet","impala",1235,2000
200000404,"chevrolet","lumina",1127,2000
200000404,"chevrolet","malibu",1101,2000
200000404,"chevrolet","metro",1152,2000
200000404,"chevrolet","monte-carlo",1100,2000
200000404,"chevrolet","prizm",1153,2000
200000404,"chevrolet","s-10",1102,2000
200000404,"chevrolet","silverado-1500",500,2000
200000404,"chevrolet","silverado-2500",1104,2000
200000404,"chevrolet","suburban",419,2000
200000404,"chevrolet","tahoe",418,2000
200000404,"chevrolet","tahoe-limitedz71",394,2000
200000404,"chevrolet","tracker",508,2000
200000404,"chevrolet","venture",1116,2000
200003644,"chrysler","300m",369,2000
200003644,"chrysler","cirrus",1083,2000
200003644,"chrysler","concorde",1154,2000
200003644,"chrysler","grand-voyager",100503413,2000
200003644,"chrysler","lhs",1155,2000
200003644,"chrysler","sebring",1157,2000
200003644,"chrysler","town-and-country",1158,2000
200003644,"chrysler","voyager",431,2000
200312185,"daewoo","lanos",955,2000
200312185,"daewoo","leganza",1097,2000
200312185,"daewoo","nubira",956,2000
200009788,"dodge","avenger",1144,2000
200009788,"dodge","caravan",1059,2000
200009788,"dodge","dakota",413,2000
200009788,"dodge","durango",378,2000
200009788,"dodge","grand-caravan",100503414,2000
200009788,"dodge","intrepid",512,2000
200009788,"dodge","neon",3497,2000
200009788,"dodge","ram-pickup-1500",1052,2000
200009788,"dodge","ram-pickup-2500",1051,2000
200009788,"dodge","ram-pickup-3500",383,2000
200009788,"dodge","ram-van",954,2000
200009788,"dodge","ram-wagon",1088,2000
200009788,"dodge","stratus",1159,2000
200009788,"dodge","viper",421,2000
200005143,"ford","contour",503,2000
200005143,"ford","contour-svt",1073,2000
200005143,"ford","crown-victoria",1105,2000
200005143,"ford","econoline-cargo",1106,2000
200005143,"ford","econoline-wagon",504,2000
200005143,"ford","escort",1112,2000
200005143,"ford","excursion",1245,2000
200005143,"ford","expedition",1120,2000
200005143,"ford","explorer",1107,2000
200005143,"ford","f-150",1108,2000
200005143,"ford","f-150-svt-lightning",1070,2000
200005143,"ford","f-250-super-duty",1109,2000
200005143,"ford","f-350-super-duty",1130,2000
200005143,"ford","focus",1131,2000
200005143,"ford","mustang",509,2000
200005143,"ford","ranger",1115,2000
200005143,"ford","taurus",1084,2000
200005143,"ford","windstar",1111,2000
200005143,"ford","windstar-cargo",100503415,2000
200007302,"gmc","envoy",1032,2000
200007302,"gmc","jimmy",376,2000
200007302,"gmc","safari",1136,2000
200007302,"gmc","safari-cargo",1137,2000
200007302,"gmc","savana",507,2000
200007302,"gmc","savana-cargo",505,2000
200007302,"gmc","sierra-1500",1113,2000
200007302,"gmc","sierra-2500",1091,2000
200007302,"gmc","sierra-classic-2500",951,2000
200007302,"gmc","sierra-classic-3500",1089,2000
200007302,"gmc","sonoma",1145,2000
200007302,"gmc","yukon",423,2000
200007302,"gmc","yukon-denali",1033,2000
200007302,"gmc","yukon-xl",424,2000
200001444,"honda","accord",1036,2000
