"id","bulletinNumber","bulletinDateMonth","bulletinDate","componentNumber","componentDescription","nhtsaItemNumber","modelYearId","summaryText"
103345,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2000,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103348,"2300800B","11","2000-11-01",220000,"SEATS","615688",2000,"SUBJECT REGARDING CHILD SEAT TETHER ANCHORS.   ( NHTSA ITEM NUMBER - 615688 )"
103350,"230800","3","2000-03-01",220000,"SEATS","610635",2000,"SUBJECT REGARDING CHILD SEAT TETHER ANCHORS.   ( NHTSA ITEM NUMBER - 610635 )"
103346,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2000,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
103353,"233599REVA","9910","1999-10-01",162000,"STRUCTURE:BODY","612160",2000,"SUBJECT ON THE CHILD SEAT TETHER ANCHORS.   ( NHTSA ITEM NUMBER - 612160 )"
103352,"233599","9909","1999-09-01",220000,"SEATS","607963",2000,"INFORMATION ON CHILD SEAT TETHER ANCHORS.   ( NHTSA ITEM NUMBER - 607963 )"
103347,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2000,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
23171,"98733","9712","1997-12-01",103800,"POWER TRAIN:AUTOMATIC TRANSMISSION:PARK/NEUTRAL START SWITCH","600604",2000,"SUBJECT ON CUSTOMER SATISFACTION NOTIFICATION #733--BRAKE PEDAL SHIFT INTERLOCK.   ( NHTSA ITEM NUMBER - 600604 )"
103349,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2000,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
103351,"231693","9303","1993-03-01",171100,"LATCHES/LOCKS/LINKAGES:DOORS:LATCH","39539",2000,"REDESIGNED LIFTGATE LATCH.   ( NHTSA ITEM NUMBER - 39539 )"
103354,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2001,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103355,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2001,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
103356,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2001,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
23172,"070397","9705","1997-05-01",60000,"ENGINE AND ENGINE COOLING","6088786",2001,"CONCERNS WITH ENGINE COOLANT USAGE.   ( NHTSA ITEM NUMBER - 6088786 )"
23173,"070397","9705","1997-05-01",62000,"ENGINE AND ENGINE COOLING:COOLING SYSTEM","52963",2001,"VARIOUS CAR OWNER'S HAVE EXPRESSED INTEREST IN USING ENGINE COOLANTS MADE WITH PROPYLENE GLYCOL INSTEAD OF ETHYLENE GLYCOL.   ( NHTSA ITEM NUMBER - 52963 )"
103357,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2001,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
23178,"RCL647","9510","1995-10-01",63130,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL:GAS RECIRCULATION VALVE (EGR VALVE)","46153",2001,"APPLIES TO VEHICLES EQUIPPED WITH A 4.2L ENGINE AND FEDERAL HIGH ALTITUDE EMISSION CONTROL SYSTEM. FUEL VAPORS MAY CAUSE DETERIORATION OF THE PCV HARNESS ASSEMBLY. THE PCV HARNESS ASSEMBLY MUST BE REPLACED AND THE ENGINE IDLE SPEEDS MUST B   ( NHTSA ITEM NUMBER - 46153 )"
23177,"RCL/617","9505","1995-05-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","43047",2001,"UNKNOWN   ( NHTSA ITEM NUMBER - 43047 )"
23175,"RCL/558","9504","1995-04-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","41032",2001,"RECALL 558 - FAILURE OF THE OXYGEN SENSOR AND CATALYTIC CONVERTER MAY CAUSE A VEHICLE TO BE IN VIOLATION OF CALIFORNIA EMISSIONS STANDARDS.   TO CORRECT THIS CONDITION, THE OXYGEN SENSOR AND CATALYTIC CONVERTER MUST BE REPLACED WITH IMPROV   ( NHTSA ITEM NUMBER - 41032 )"
23174,"RCL/557","9412","1994-12-01",63100,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:EMISSION CONTROL","39014",2001,"IT HAS BEEN DETERMINED THAT THE 1990 JEEP VEHICLE, EQUIPPED WITH THE 2.5L ENGINE, MAY BE IN VIOLATION OF FEDERAL EMISSIONS STANDARDS.  HYDROCARBON, CARBON MONOXIDE AND OXIDES OF NITROGEN LEVELS COULD BE ABOVE ALLOWABLE LIMITS, WHICH WERE E   ( NHTSA ITEM NUMBER - 39014 )"
23176,"RCL/589","9411","1994-11-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","37980",2001,"HYDROCARBON AND CARBON MONOXIDE EMISSIONS LEVLS FOR THE ABOVE LISTED MODEL VEHICLES MAY EXCEED THE LIMITS ALLOWED BY CALIFORNIA EMISSIONS STANDARDS. TO CORRECT THE CONDITION, THE PCV HARNESS, CHOKE VACUUM DIAPHRAGM, EGR VALVE AND DECEL VAL   ( NHTSA ITEM NUMBER - 37980 )"
103358,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2002,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
103359,"080600","2","2000-02-01",114000,"ELECTRICAL SYSTEM:WIRING","609995",2002,"THIS BULLETIN PROVIDES A REVISED WIRE SPLICE PROCEDURE AND RELATED PARTS.   ( NHTSA ITEM NUMBER - 609995 )"
23182,"110798","9812","1998-12-01",63200,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM:MANIFOLD/HEADER/MUFFLER/TAIL PIPE","603108",2002,"OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE/BREAK.   ( NHTSA ITEM NUMBER - 603108 )"
23181,"110798","9807","1998-07-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","602327",2002,"THE OUTER EXHAUST MANIFOLD STUDS MAY FATIGUE AND BREAK.   ( NHTSA ITEM NUMBER - 602327 )"
103360,"081698","9804","1998-04-01",353400,"EQUIPMENT:ELECTRICAL:RADIO/TAPE DECK/CD ETC.","600862",2002,"INFORMATION ON INSTALLATION OF RADIO TRANSMITTING EQUIPMENT.   ( NHTSA ITEM NUMBER - 600862 )"
23183,"98698","9709","1997-09-01",63000,"ENGINE AND ENGINE COOLING:EXHAUST SYSTEM","54225",2002,"RECALL NOTIFICATION AND PROCEDURE ON CATALYTIC CONVETER AND CARBURETOR.   ( NHTSA ITEM NUMBER - 54225 )"
23179,"070397","9705","1997-05-01",60000,"ENGINE AND ENGINE COOLING","6088786",2002,"CONCERNS WITH ENGINE COOLANT USAGE.   ( NHTSA ITEM NUMBER - 6088786 )"
23180,"070397","9705","1997-05-01",62000,"ENGINE AND ENGINE COOLING:COOLING SYSTEM","52963",2002,"VARIOUS CAR OWNER'S HAVE EXPRESSED INTEREST IN USING ENGINE COOLANTS MADE WITH PROPYLENE GLYCOL INSTEAD OF ETHYLENE GLYCOL.   ( NHTSA ITEM NUMBER - 52963 )"
103361,"230397","9702","1997-02-01",161000,"STRUCTURE:FRAME AND MEMBERS","51942",2002,"DIFFICULT TO CLEAN LIGHT COLORED ""CHALKY"" RESIDUE FROM PLASTIC BODY COMPONENTS THAT ARE MOLDED IN BLACK.   ( NHTSA ITEM NUMBER - 51942 )"
103365,"1802002","206","2002-06-01",980000,"OTHER","634272",2003,"FLASH PROGRAMMING FAILURE RECOVERY.   ( NHTSA ITEM NUMBER - 634272 )"
103362,"0800600REV","12","2000-12-01",110000,"ELECTRICAL SYSTEM","618049",2003,"SUBJECT REGARDING WIRE SPLICE REPAIRS.   ( NHTSA ITEM NUMBER - 618049 )"
